flow,ts,ipd
192.168.1.5_52.168.117.168,1768722674.6822946,0.0010013580322265625
192.168.1.5_52.168.117.168,1768722674.6822946,0.0
192.168.1.5_52.168.117.168,1768722674.6822946,0.0
192.168.1.5_52.168.117.168,1768722674.683296,0.0010013580322265625
192.168.1.5_52.168.117.168,1768722674.683296,0.0
192.168.1.5_52.168.117.168,1768722674.683296,0.0
192.168.1.5_52.168.117.168,1768722674.9120626,0.22876667976379395
52.168.117.168_192.168.1.5,1768722674.9110622,0.00853419303894043
52.168.117.168_192.168.1.5,1768722674.9110622,0.0
52.168.117.168_192.168.1.5,1768722674.9110622,0.0
52.168.117.168_192.168.1.5,1768722675.1785798,0.2675175666809082
192.168.1.1_192.168.1.5,1768722676.1336613,0.0010118484497070312
192.168.1.1_192.168.1.5,1768722676.4403362,0.3066749572753906
192.168.1.1_192.168.1.5,1768722676.4403362,0.0
192.168.1.1_192.168.1.5,1768722676.4413362,0.0009999275207519531
192.168.1.1_192.168.1.5,1768722676.4413362,0.0
192.168.1.1_192.168.1.5,1768722676.4413362,0.0
192.168.1.1_192.168.1.5,1768722676.4413362,0.0
192.168.1.1_192.168.1.5,1768722678.2991734,1.857837200164795
192.168.1.1_192.168.1.5,1768722680.9192684,2.6200950145721436
192.168.1.1_192.168.1.5,1768722680.9192684,0.0
192.168.1.1_192.168.1.5,1768722680.9202616,0.0009932518005371094
192.168.1.1_192.168.1.5,1768722680.9202616,0.0
192.168.1.1_192.168.1.5,1768722684.9553707,4.035109043121338
192.168.1.1_192.168.1.5,1768722684.9553707,0.0
192.168.1.1_192.168.1.5,1768722684.9553707,0.0
192.168.1.1_192.168.1.5,1768722684.9553707,0.0
192.168.1.1_192.168.1.5,1768722684.9553707,0.0
192.168.1.1_192.168.1.5,1768722684.9553707,0.0
192.168.1.1_192.168.1.5,1768722684.9563704,0.0009996891021728516
192.168.1.1_192.168.1.5,1768722687.8798292,2.9234588146209717
192.168.1.1_192.168.1.5,1768722687.8798292,0.0
192.168.1.1_192.168.1.5,1768722687.8798292,0.0
192.168.1.1_192.168.1.5,1768722687.880983,0.0011539459228515625
192.168.1.1_192.168.1.5,1768722687.880983,0.0
192.168.1.1_192.168.1.5,1768722687.880983,0.0
192.168.1.1_192.168.1.5,1768722687.9689052,0.0879220962524414
192.168.1.1_192.168.1.5,1768722687.96989,0.0009849071502685547
192.168.1.1_192.168.1.5,1768722687.96989,0.0
192.168.1.1_192.168.1.5,1768722687.96989,0.0
192.168.1.1_192.168.1.5,1768722689.0166492,1.0467591285705566
192.168.1.1_192.168.1.5,1768722693.0793746,4.062725305557251
192.168.1.1_192.168.1.5,1768722693.0793746,0.0
192.168.1.1_192.168.1.5,1768722693.2366,0.1572253704071045
192.168.1.1_192.168.1.5,1768722693.2376275,0.0010275840759277344
192.168.1.1_192.168.1.5,1768722693.2386286,0.001001119613647461
192.168.1.1_192.168.1.5,1768722693.4104347,0.17180609703063965
192.168.1.1_192.168.1.5,1768722693.6401796,0.22974491119384766
192.168.1.1_192.168.1.5,1768722695.4513404,1.8111608028411865
192.168.1.1_192.168.1.5,1768722695.4533398,0.001999378204345703
192.168.1.1_192.168.1.5,1768722695.4533398,0.0
192.168.1.1_192.168.1.5,1768722695.638934,0.1855940818786621
192.168.1.1_192.168.1.5,1768722695.638934,0.0
192.168.1.1_192.168.1.5,1768722696.28977,0.6508359909057617
192.168.1.1_192.168.1.5,1768722696.2907753,0.001005411148071289
192.168.1.1_192.168.1.5,1768722696.291772,0.0009965896606445312
192.168.1.1_192.168.1.5,1768722697.6337702,1.3419983386993408
192.168.1.1_192.168.1.5,1768722697.6351447,0.0013744831085205078
192.168.1.1_192.168.1.5,1768722698.446375,0.8112301826477051
192.168.1.1_192.168.1.5,1768722698.446375,0.0
192.168.1.1_192.168.1.5,1768722698.4484572,0.002082347869873047
192.168.1.1_192.168.1.5,1768722698.6792488,0.23079156875610352
192.168.1.1_192.168.1.5,1768722698.8388407,0.1595919132232666
192.168.1.1_192.168.1.5,1768722698.839847,0.0010063648223876953
192.168.1.1_192.168.1.5,1768722701.1268253,2.286978244781494
192.168.1.1_192.168.1.5,1768722701.1278267,0.0010013580322265625
192.168.1.1_192.168.1.5,1768722701.1278267,0.0
192.168.1.1_192.168.1.5,1768722701.1278267,0.0
192.168.1.1_192.168.1.5,1768722701.3995545,0.2717278003692627
192.168.1.1_192.168.1.5,1768722701.3995545,0.0
192.168.1.1_192.168.1.5,1768722702.7395537,1.3399991989135742
192.168.1.1_192.168.1.5,1768722702.7395537,0.0
192.168.1.1_192.168.1.5,1768722702.7395537,0.0
192.168.1.1_192.168.1.5,1768722702.7405522,0.0009984970092773438
192.168.1.1_192.168.1.5,1768722704.600243,1.8596909046173096
192.168.1.5_192.168.1.1,1768722676.1346521,0.002002716064453125
192.168.1.5_192.168.1.1,1768722676.439337,0.3046848773956299
192.168.1.5_192.168.1.1,1768722676.439337,0.0
192.168.1.5_192.168.1.1,1768722676.439337,0.0
192.168.1.5_192.168.1.1,1768722676.4403362,0.0009992122650146484
192.168.1.5_192.168.1.1,1768722676.4403362,0.0
192.168.1.5_192.168.1.1,1768722676.4403362,0.0
192.168.1.5_192.168.1.1,1768722678.2991734,1.8588371276855469
192.168.1.5_192.168.1.1,1768722680.9202616,2.6210882663726807
192.168.1.5_192.168.1.1,1768722680.9202616,0.0
192.168.1.5_192.168.1.1,1768722680.9202616,0.0
192.168.1.5_192.168.1.1,1768722684.953374,4.033112287521362
192.168.1.5_192.168.1.1,1768722684.953374,0.0
192.168.1.5_192.168.1.1,1768722684.953374,0.0
192.168.1.5_192.168.1.1,1768722684.954371,0.0009970664978027344
192.168.1.5_192.168.1.1,1768722684.954371,0.0
192.168.1.5_192.168.1.1,1768722684.954371,0.0
192.168.1.5_192.168.1.1,1768722684.954371,0.0
192.168.1.5_192.168.1.1,1768722687.8569832,2.9026122093200684
192.168.1.5_192.168.1.1,1768722687.8579829,0.0009996891021728516
192.168.1.5_192.168.1.1,1768722687.8579829,0.0
192.168.1.5_192.168.1.1,1768722687.8579829,0.0
192.168.1.5_192.168.1.1,1768722687.8589778,0.0009949207305908203
192.168.1.5_192.168.1.1,1768722687.8589778,0.0
192.168.1.5_192.168.1.1,1768722687.9709048,0.11192703247070312
192.168.1.5_192.168.1.1,1768722687.9709048,0.0
192.168.1.5_192.168.1.1,1768722687.9709048,0.0
192.168.1.5_192.168.1.1,1768722689.0136325,1.0427277088165283
192.168.1.5_192.168.1.1,1768722693.0803742,4.066741704940796
192.168.1.5_192.168.1.1,1768722693.2366,0.15622568130493164
192.168.1.5_192.168.1.1,1768722693.2376275,0.0010275840759277344
192.168.1.5_192.168.1.1,1768722693.2386286,0.001001119613647461
192.168.1.5_192.168.1.1,1768722693.4113693,0.17274069786071777
192.168.1.5_192.168.1.1,1768722693.6381533,0.22678399085998535
192.168.1.5_192.168.1.1,1768722695.4513404,1.8131871223449707
192.168.1.5_192.168.1.1,1768722695.4533398,0.001999378204345703
192.168.1.5_192.168.1.1,1768722695.4543245,0.0009846687316894531
192.168.1.5_192.168.1.1,1768722695.638934,0.18460941314697266
192.168.1.5_192.168.1.1,1768722696.2907753,0.651841402053833
192.168.1.5_192.168.1.1,1768722696.2907753,0.0
192.168.1.5_192.168.1.1,1768722696.291772,0.0009965896606445312
192.168.1.5_192.168.1.1,1768722697.6307578,1.3389859199523926
192.168.1.5_192.168.1.1,1768722697.6307578,0.0
192.168.1.5_192.168.1.1,1768722698.446375,0.8156170845031738
192.168.1.5_192.168.1.1,1768722698.4474778,0.0011029243469238281
192.168.1.5_192.168.1.1,1768722698.4484572,0.0009794235229492188
192.168.1.5_192.168.1.1,1768722698.6772525,0.22879528999328613
192.168.1.5_192.168.1.1,1768722698.839847,0.16259455680847168
192.168.1.5_192.168.1.1,1768722701.125498,2.2856509685516357
192.168.1.5_192.168.1.1,1768722701.125498,0.0
192.168.1.5_192.168.1.1,1768722701.125498,0.0
192.168.1.5_192.168.1.1,1768722701.1268253,0.0013272762298583984
192.168.1.5_192.168.1.1,1768722701.4007463,0.27392101287841797
192.168.1.5_192.168.1.1,1768722702.7363763,1.335629940032959
192.168.1.5_192.168.1.1,1768722702.7363763,0.0
192.168.1.5_192.168.1.1,1768722702.7375393,0.0011630058288574219
192.168.1.5_192.168.1.1,1768722702.7375393,0.0
192.168.1.8_224.0.0.252,1768722678.7088652,0.4337012767791748
192.168.1.8_224.0.0.252,1768722679.1303313,0.4214661121368408
192.168.1.8_224.0.0.252,1768722679.5657237,0.4353923797607422
192.168.1.8_224.0.0.22,1768722678.3357012,0.0
192.168.1.8_224.0.0.22,1768722678.7448857,0.40918445587158203
192.168.1.8_224.0.0.22,1768722679.1552703,0.4103846549987793
192.168.1.8_224.0.0.22,1768722679.1552703,0.0
192.168.1.8_224.0.0.22,1768722679.2569518,0.10168147087097168
192.168.1.5_18.97.36.19,1768722679.2054174,0.7766430377960205
192.168.1.5_18.97.36.19,1768722679.4731848,0.26776742935180664
192.168.1.5_18.97.36.19,1768722682.5761313,3.1029465198516846
18.97.36.19_192.168.1.5,1768722679.4201846,0.7758302688598633
18.97.36.19_192.168.1.5,1768722679.4211845,0.0009999275207519531
18.97.36.19_192.168.1.5,1768722682.5751324,3.1539478302001953
18.97.36.19_192.168.1.5,1768722682.8448672,0.26973485946655273
192.168.1.5_224.0.0.22,1768722678.7418647,0.010993242263793945
192.168.1.5_224.0.0.22,1768722679.2199519,0.4780871868133545
192.168.1.5_224.0.0.22,1768722679.5697267,0.3497748374938965
192.168.1.5_224.0.0.22,1768722679.570725,0.0009982585906982422
192.168.1.5_224.0.0.22,1768722679.7269301,0.1562051773071289
192.168.1.5_224.0.0.252,1768722679.1573272,0.4144623279571533
192.168.1.5_224.0.0.252,1768722679.5717351,0.41440796852111816
192.168.1.5_224.0.0.252,1768722679.9969332,0.4251980781555176
151.101.157.91_192.168.1.5,1768722680.320201,0.024539709091186523
151.101.157.91_192.168.1.5,1768722680.320201,0.0
192.168.1.5_151.101.157.91,1768722680.3096952,0.0010347366333007812
192.168.1.5_140.82.112.21,1768722689.2718542,0.2552049160003662
192.168.1.5_140.82.112.21,1768722689.2718542,0.0
192.168.1.5_140.82.112.21,1768722689.5284383,0.25658416748046875
192.168.1.5_140.82.112.21,1768722689.533953,0.005514621734619141
192.168.1.5_140.82.112.21,1768722689.533953,0.0
192.168.1.5_140.82.112.21,1768722689.5349538,0.0010008811950683594
192.168.1.5_140.82.112.21,1768722689.5349538,0.0
192.168.1.5_140.82.112.21,1768722689.7907567,0.25580286979675293
192.168.1.5_140.82.112.21,1768722690.0870953,0.2963385581970215
192.168.1.5_140.82.112.21,1768722690.0870953,0.0
192.168.1.5_140.82.112.21,1768722690.0870953,0.0
140.82.112.21_192.168.1.5,1768722689.5284383,0.25658416748046875
140.82.112.21_192.168.1.5,1768722689.5284383,0.0
140.82.112.21_192.168.1.5,1768722689.5284383,0.0
140.82.112.21_192.168.1.5,1768722689.5329525,0.004514217376708984
140.82.112.21_192.168.1.5,1768722689.533953,0.0010004043579101562
140.82.112.21_192.168.1.5,1768722689.7897606,0.25580763816833496
140.82.112.21_192.168.1.5,1768722689.7897606,0.0
140.82.112.21_192.168.1.5,1768722689.7907567,0.0009961128234863281
140.82.112.21_192.168.1.5,1768722690.0860991,0.29534244537353516
140.82.112.21_192.168.1.5,1768722690.0860991,0.0
140.82.112.21_192.168.1.5,1768722690.0860991,0.0
140.82.112.21_192.168.1.5,1768722690.3400023,0.2539031505584717
192.168.1.5_224.0.0.251,1768722690.996578,0.002997875213623047
192.168.1.5_224.0.0.251,1768722691.2628005,0.2662224769592285
192.168.1.5_224.0.0.251,1768722691.5179658,0.25516533851623535
192.168.1.5_224.0.0.251,1768722691.787749,0.26978325843811035
192.168.1.5_224.0.0.251,1768722691.7907293,0.0029802322387695312
